,observation_count,common_name,scientific_name,species_key,rank,record_count
68,2511,Monk's-hood,Aconitum napellus,NBNORG0000052964,Species,2843
69,875,,Aconitum napellus sensu lato,NBNORG0000057227,Species aggregate,925
70,180,,Aconitum napellus subsp. napellus,NBNORG0000052966,Subspecies,232
71,8,,Aconitum napellus subsp. vulgare,NBNORG0000052967,Subspecies,9
72,361,,Aconitum napellus x variegatum = A. x cammarum,NBNORG0000090337,Species hybrid,364
73,1,,Aconitum variegatum,NBNORG0000100083,Species,1
74,3389,Sweet-flag,Acorus calamus,NBNORG0000007252,Species,3756
75,14,Slender Sweet-flag,Acorus gramineus,NBNORG0000013458,Species,15
76,2,,Actaea,NBNORG0000052970,Genus,514
77,1,,Actaea erythrocarpa,NBNORG0000052971,Species,1
78,499,Baneberry,Actaea spicata,NBNORG0000007430,Species,511
79,1,,Adonis,NBNORG0000052975,Genus,1094
80,1,Summer Pheasant's-eye,Adonis aestivalis,NBNORG0000045880,Species,1
81,862,Pheasant's-eye,Adonis annua,NBNORG0000007462,Species,1089
82,2,Large Pheasant's-eye,Adonis flammea,NBNORG0000045881,Species,2
83,6,,Adoxa,NBNORG0000052976,Genus,26559
84,24582,Moschatel,Adoxa moschatellina,NBNORG0000008482,Species,26553
85,4,,Aegilops cylindrica,NBNORG0000045884,Species,4
86,1,,Aegilops speltoides,NBNORG0000045887,Species,2
87,1,,Aegilops speltoides subsp. ligustica,NBNORG0000045888,Subspecies,1
88,1,,Aegilops umbellulata,NBNORG0000045890,Species,1
89,5,,Aegopodium,NBNORG0000052983,Genus,57861
90,53173,Ground-elder,Aegopodium podagraria,NBNORG0000008052,Species,57856
91,19,Tree Aeonium,Aeonium arboreum,NBNORG0000052985,Species,19
92,2,,Aeonium canariense,NBNORG0000052986,Species,2
93,33,Aeonium,Aeonium cuneatum,NBNORG0000052987,Species,34
94,21,,Aesculus,NBNORG0000052988,Genus,59013
95,1006,Red Horse-chestnut,Aesculus carnea,NBNORG0000052989,Species,1525
96,31,Yellow Buckeye,Aesculus flava,NBNORG0000025019,Species,61
97,45014,Horse-chestnut,Aesculus hippocastanum,NBNORG0000008652,Species,57101
98,2,,Aesculus hippocastanum x pavia,NBNORG0000008927,Species hybrid,4
99,27,Indian Horse-chestnut,Aesculus indica,NBNORG0000052990,Species,232
100,1,Bottlebrush Buckeye,Aesculus parviflora,NBNORG0000025020,Species,3
101,1,Japanese Horse-chestnut,Aesculus turbinata,NBNORG0000047518,Species,2
102,2,Tuberous Hawk's-beard,Aetheorhiza bulbosa,NBNORG0000013465,Species,2
103,17717,,Aethusa cynapium,NBNORG0000008059,Species,24103
104,119,,Aethusa cynapium subsp. agrestis,NBNORG0000052994,Subspecies,130
105,2,,Aethusa cynapium subsp. cynapioides,NBNORG0000052995,Subspecies,2
106,3475,,Aethusa cynapium subsp. cynapium,NBNORG0000052996,Subspecies,3601
107,1,,Agapanthus,NBNORG0000052997,Genus,84
108,35,African Lily,Agapanthus praecox,NBNORG0000013389,Species,81
109,40,African Lily,Agapanthus praecox subsp. orientalis,NBNORG0000052998,Subspecies,41
110,2,,Agave,NBNORG0000052999,Genus,15
111,8,Centuryplant,Agave americana,NBNORG0000013174,Species,11
112,3,,Ageratum,NBNORG0000053000,Genus,43
113,37,Flossflower,Ageratum houstonianum,NBNORG0000053001,Species,40
114,32,Agrimony,Agrimonia,NBNORG0000053004,Genus,50544
115,41828,Agrimony,Agrimonia eupatoria,NBNORG0000007886,Species,46996
116,4,,Agrimonia eupatoria x procera = A. x wirtgenii,NBNORG0000090244,Species hybrid,7
117,3267,Fragrant Agrimony,Agrimonia procera,NBNORG0000007887,Species,3487
118,18,,Agropyron,NBNORG0000095931,Genus,23
119,4,,Agropyron cristatum,NBNORG0000053007,Species,4
120,2606,Corncockle,Agrostemma githago,NBNORG0000007632,Species,3571
121,3,,Agrostemma gracilis,NBNORG0000045896,Species,3
122,3288,Bent Grass,Agrostis,NBNORG0000053010,Genus,309164
123,1,,Agrostis aemula,NBNORG0000045897,Species,1
124,40,Blown-grass,Agrostis avenacea,NBNORG0000053011,Species,40
125,20018,Velvet Bent,Agrostis canina,NBNORG0000053012,Species,21072
126,12179,,Agrostis canina sensu lato,NBNORG0000057228,Species aggregate,12712
127,98251,Common Bent,Agrostis capillaris,NBNORG0000007394,Species,108514
128,2,,Agrostis capillaris x castellana = A. x fouilladeana,NBNORG0000053013,Species hybrid,4
129,9,,Agrostis capillaris x gigantea = A. x bjoerkmanii,NBNORG0000090374,Species hybrid,9
130,90,,Agrostis capillaris x stolonifera = A. x murbeckii,NBNORG0000090293,Species hybrid,130
131,7,,Agrostis capillaris x vinealis = A. ? x sanionis,NBNORG0000090242,Species hybrid,10
132,168,Highland Bent,Agrostis castellana,NBNORG0000053014,Species,235
133,3548,Bristle Bent,Agrostis curtisii,NBNORG0000053015,Species,3970
134,3,Spike Bent,Agrostis exarata,NBNORG0000053017,Species,3
135,12976,Black Bent,Agrostis gigantea,NBNORG0000007395,Species,15170
136,28,,Agrostis gigantea x stolonifera,NBNORG0000013189,Species hybrid,30
137,2,Small Bent,Agrostis hyemalis,NBNORG0000053018,Species,3
138,32,African Bent,Agrostis lachnantha,NBNORG0000107905,Species,33
139,1,,Agrostis pourretii,NBNORG0000045900,Species,1
140,107,Rough Bent,Agrostis scabra,NBNORG0000007397,Species,109
141,122274,Creeping Bent,Agrostis stolonifera,NBNORG0000007396,Species,136392
142,6,,Agrostis stolonifera x Polypogon viridis = X Agropogon robinsonii,NBNORG0000028225,Species hybrid,6
143,17,,Agrostis stolonifera x vinealis,NBNORG0000013489,Species hybrid,17
144,237,,Agrostis tenerrima,NBNORG0000045901,Species,237
145,4804,Brown Bent,Agrostis vinealis,NBNORG0000053021,Species,5204
146,1,,Ailanthus,NBNORG0000053022,Genus,1349
147,351,Tree-of-heaven,Ailanthus altissima,NBNORG0000053023,Species,1347
148,17,,Aira,NBNORG0000053024,Genus,35717
149,12488,Silver Hair-grass,Aira caryophyllea,NBNORG0000007389,Species,12809
150,2,,Aira cupaniana,NBNORG0000045902,Species,2
151,5,,Aira elegantissima,NBNORG0000045903,Species,5
152,21490,Early Hair-grass,Aira praecox,NBNORG0000007388,Species,22883
153,1,,Aizoaceae,NBNORG0000027157,Family,1454
154,16,,Ajuga,NBNORG0000053026,Genus,66703
155,448,Ground-pine,Ajuga chamaepitys,NBNORG0000053027,Species,1128
156,49,Cornish Bugle,Ajuga genevensis,NBNORG0000008428,Species,49
157,1078,Pyramidal Bugle,Ajuga pyramidalis,NBNORG0000008429,Species,1103
158,58851,Bugle,Ajuga reptans,NBNORG0000008427,Species,64376
159,7,Hybrid Bugle,Ajuga reptans x pyramidalis = A. x pseudopyramidalis,NBNORG0000090169,Species hybrid,7
160,1,Five-leaf Akebia,Akebia quinata,NBNORG0000045904,Species,5
161,2,,Akebia trifoliata,NBNORG0000047526,Species,2
162,1,,Alcea,NBNORG0000053030,Genus,2168
163,1724,Hollyhock,Alcea rosea,NBNORG0000007722,Species,2158
164,908,,Alchemilla,NBNORG0000053031,Genus,52241
165,195,,Alchemilla acutiloba,NBNORG0000007896,Species,195
166,4639,Alpine Lady's-mantle,Alchemilla alpina,NBNORG0000007889,Species,4671
167,240,Silver Lady's-mantle,Alchemilla conjuncta,NBNORG0000007890,Species,244
168,1623,Hairy Lady's-mantle,Alchemilla filicaulis,NBNORG0000023530,Species,11191
169,1193,,Alchemilla filicaulis subsp. filicaulis,NBNORG0000053032,Subspecies,1203
170,8196,,Alchemilla filicaulis subsp. vestita,NBNORG0000053033,Subspecies,8338
171,13622,Smooth Lady's-mantle,Alchemilla glabra,NBNORG0000053034,Species,14049
172,216,,Alchemilla glaucescens,NBNORG0000007892,Species,219
173,269,,Alchemilla glomerulans,NBNORG0000007898,Species,301
174,23,,Alchemilla micans,NBNORG0000041044,Species,23
175,67,Alchemilla,Alchemilla minima,NBNORG0000007894,Species,69
176,3586,Garden Lady's-mantle,Alchemilla mollis,NBNORG0000007899,Species,3896
177,151,,Alchemilla monticola,NBNORG0000007895,Species,151
178,54,,Alchemilla subcrenata,NBNORG0000007893,Species,54
179,20,,Alchemilla tytthantha,NBNORG0000013335,Species,20
180,2,,Alchemilla venosa,NBNORG0000045906,Species,2
181,6220,Lady's-mantle,Alchemilla vulgaris agg.,NBNORG0000007891,Species aggregate,6382
182,379,,Alchemilla wichurae,NBNORG0000053035,Species,440
183,9188,Intermediate Lady's-mantle,Alchemilla xanthochlora,NBNORG0000007897,Species,9386
184,63,,Alisma,NBNORG0000053036,Genus,45832
185,65,Ribbon-leaved Water-plantain,Alisma gramineum,NBNORG0000007117,Species,74
186,2736,Narrow-leaved Water-plantain,Alisma lanceolatum,NBNORG0000007116,Species,3164
187,39207,Water-plantain,Alisma plantago-aquatica,NBNORG0000007115,Species,42478
188,29,,Alisma plantago-aquatica x lanceolatum = A. x rhicnocarpum,NBNORG0000090098,Species hybrid,41
189,2,,Alismataceae,NBNORG0000027164,Family,63167
190,73452,Garlic Mustard,Alliaria petiolata,NBNORG0000053039,Species,82576
191,159,Onion,Allium,NBNORG0000053040,Genus,64487
192,1241,,Allium ampeloprasum,NBNORG0000023522,Species,1270
193,602,Keeled Garlic,Allium carinatum,NBNORG0000007176,Species,616
194,111,Onion,Allium cepa,NBNORG0000007212,Species,135
195,2,,Allium cristophii,NBNORG0000047602,Species,2
196,2,Welsh Onion,Allium fistulosum,NBNORG0000045911,Species,3
197,7,,Allium giganteum,NBNORG0000047521,Species,7
198,49,Yellow Garlic,Allium moly,NBNORG0000013448,Species,50
199,113,Neapolitan Garlic,Allium neapolitanum,NBNORG0000021882,Species,130
200,40,Broad-leaved Leek,Allium nigrum,NBNORG0000013372,Species,46
201,1696,Field Garlic,Allium oleraceum,NBNORG0000007175,Species,1801
202,1608,Few-flowered Garlic,Allium paradoxum,NBNORG0000053041,Species,1706
203,5,Italian Garlic,Allium pendulinum,NBNORG0000023594,Species,11
204,74,Leek,Allium porrum,NBNORG0000007213,Species,80
205,629,Rosy Garlic,Allium roseum,NBNORG0000007178,Species,713
206,7,,Allium roseum var. bulbiferum,NBNORG0000070814,Variety,7
207,30,Garlic,Allium sativum,NBNORG0000107906,Species,34
208,880,Chives,Allium schoenoprasum,NBNORG0000007177,Species,1039
209,1345,Sand Leek,Allium scorodoprasum,NBNORG0000007172,Species,1419
210,2,,Allium senescens,NBNORG0000047576,Species,2
211,30,Round-headed Leek,Allium sphaerocephalon,NBNORG0000007173,Species,84
212,77,Hairy Garlic,Allium subhirsutum,NBNORG0000021916,Species,116
213,3405,Three-cornered Garlic,Allium triquetrum,NBNORG0000007179,Species,3930
214,3,Chinese Chives,Allium tuberosum,NBNORG0000053042,Species,6
215,8,American Garlic,Allium unifolium,NBNORG0000023509,Species,10
216,34189,Ramsons,Allium ursinum,NBNORG0000007180,Species,36091
217,13083,,Allium vineale,NBNORG0000007174,Species,14980
218,839,,Alnus,NBNORG0000053045,Genus,106065
219,1791,Italian Alder,Alnus cordata,NBNORG0000053046,Species,2377
220,4,,Alnus cordata x incana,NBNORG0000091188,Species hybrid,4
221,90580,Alder,Alnus glutinosa,NBNORG0000053047,Species,97940
222,150,Hybrid Alder,Alnus glutinosa x incana = A. x hybrida,NBNORG0000090369,Species hybrid,154
223,4019,Grey Alder,Alnus incana,NBNORG0000008142,Species,4431
224,1,Oriental Alder,Alnus orientalis,NBNORG0000025023,Species,1
225,46,Red Alder,Alnus rubra,NBNORG0000025024,Species,50
226,35,Green Alder,Alnus viridis,NBNORG0000023312,Species,37
227,1,,Alonsoa caulialata,NBNORG0000053049,Species,1
228,2,Mask-flower,Alonsoa warscewiczii,NBNORG0000045913,Species,2
229,98,Foxtail,Alopecurus,NBNORG0000053051,Genus,137309
230,1361,Orange Foxtail,Alopecurus aequalis,NBNORG0000007409,Species,1509
231,289,Alpine Foxtail,Alopecurus borealis,NBNORG0000007411,Species,326
232,924,Bulbous Foxtail,Alopecurus bulbosus,NBNORG0000007410,Species,1093
233,39494,Marsh Foxtail,Alopecurus geniculatus,NBNORG0000007408,Species,42451
234,33,,Alopecurus geniculatus x aequalis = A. x haussknechtianus,NBNORG0000089920,Species hybrid,33
235,154,,Alopecurus geniculatus x bulbosus = A. x plettkei,NBNORG0000089983,Species hybrid,176
236,42,,Alopecurus magellanicus,NBNORG0000045914,Species,59
237,14660,Black-grass,Alopecurus myosuroides,NBNORG0000053053,Species,17075
238,66243,Meadow Foxtail,Alopecurus pratensis,NBNORG0000007407,Species,74298
239,173,,Alopecurus pratensis x geniculatus = A. x brachystylus,NBNORG0000090068,Species hybrid,185
240,1,,Alopecurus utriculatus,NBNORG0000045917,Species,1
241,86,Peruvian Lily,Alstroemeria aurea,NBNORG0000013264,Species,89
242,2,Joyweed,Alternanthera nodiflora,NBNORG0000045919,Species,2
243,1,,Althaea,NBNORG0000053058,Genus,2848
244,1,,Althaea cannabina,NBNORG0000045922,Species,1
245,284,Rough Marsh-mallow,Althaea hirsuta,NBNORG0000007721,Species,389
246,1366,Marsh-mallow,Althaea officinalis,NBNORG0000007720,Species,2457
247,3,,Alyssum,NBNORG0000053059,Genus,1094
248,671,Small Alison,Alyssum alyssoides,NBNORG0000007537,Species,681
249,2,Mountain Alison,Alyssum montanum,NBNORG0000045926,Species,2
250,345,Golden Alison,Alyssum saxatile,NBNORG0000007538,Species,364
251,1,,Amaranthaceae,NBNORG0000027168,Family,226508
252,26,,Amaranthus,NBNORG0000053060,Genus,3812
253,308,White Pigweed,Amaranthus albus,NBNORG0000007684,Species,329
254,112,Prostrate Pigweed,Amaranthus blitoides,NBNORG0000053063,Species,118
255,80,Guernsey Pigweed,Amaranthus blitum,NBNORG0000007685,Species,84
256,203,Indehiscent Amaranth,Amaranthus bouchonii,NBNORG0000023249,Species,215
257,34,Cape Pigweed,Amaranthus capensis,NBNORG0000023273,Species,34
258,87,Love-lies-bleeding,Amaranthus caudatus,NBNORG0000013392,Species,92
259,2,,Amaranthus clementii,NBNORG0000045931,Species,2
260,2,Crisp-leaved Amaranth,Amaranthus crispus,NBNORG0000053065,Species,2
261,46,Purple Amaranth,Amaranthus cruentus,NBNORG0000023408,Species,64
262,45,Perennial Pigweed,Amaranthus deflexus,NBNORG0000013388,Species,47
263,22,Short-tepalled Pigweed,Amaranthus graecizans,NBNORG0000023315,Species,22
264,590,Green Amaranth,Amaranthus hybridus,NBNORG0000007683,Species,680
265,7,Prince's-feather,Amaranthus hypochondriacus,NBNORG0000026710,Species,7
266,1,Desert Amaranth,Amaranthus macrocarpus,NBNORG0000045932,Species,1
267,1,Rough-fruited Amaranth,Amaranthus muricatus,NBNORG0000045934,Species,1
268,11,Dioecious Amaranth,Amaranthus palmeri,NBNORG0000053067,Species,11
269,8,Powell's Amaranth,Amaranthus powellii,NBNORG0000053068,Species,11
270,60,Mucronate Amaranth,Amaranthus quitensis,NBNORG0000013251,Species,60
271,1650,Common Amaranth,Amaranthus retroflexus,NBNORG0000007682,Species,1857
272,47,,Amaranthus retroflexus x hybridus = A. x ozanonii,NBNORG0000090085,Species hybrid,49
273,3,Spiny Amaranth,Amaranthus spinosus,NBNORG0000045936,Species,3
274,18,Indehiscent Pigweed,Amaranthus standleyanus,NBNORG0000053071,Species,18
275,38,Thunberg's Pigweed,Amaranthus thunbergii,NBNORG0000023434,Species,38
276,7,,Amaranthus viridis,NBNORG0000045938,Species,8
277,1,,Amaryllis,NBNORG0000053074,Genus,22
278,20,Jersey Lily,Amaryllis belladonna,NBNORG0000023557,Species,21
279,1,Hooker's Bur-ragweed,Ambrosia acanthicarpa,NBNORG0000045940,Species,1
280,706,Ragweed,Ambrosia artemisiifolia,NBNORG0000008500,Species,752
281,5,,Ambrosia maritima,NBNORG0000045941,Species,5
282,111,Perennial Ragweed,Ambrosia psilostachya,NBNORG0000023299,Species,111
283,203,Giant Ragweed,Ambrosia trifida,NBNORG0000023592,Species,204
284,17,,Amelanchier,NBNORG0000053078,Genus,913
285,650,Juneberry,Amelanchier lamarckii,NBNORG0000053079,Species,781
286,19,Snowy Mespilus,Amelanchier ovalis,NBNORG0000053080,Species,19
287,410,Bullwort,Ammi majus,NBNORG0000008045,Species,453
288,98,Toothpick-plant,Ammi visnaga,NBNORG0000008046,Species,100
289,22,,Ammophila,NBNORG0000053087,Genus,6817
290,6365,Marram,Ammophila arenaria,NBNORG0000007390,Species,6792
291,1,American Marram,Ammophila breviligulata,NBNORG0000053088,Species,1
292,4,,Amsinckia,NBNORG0000053090,Genus,2482
293,85,Scarce Fiddleneck,Amsinckia lycopsoides,NBNORG0000053091,Species,86
294,2329,Common Fiddleneck,Amsinckia micrantha,NBNORG0000021641,Species,2391
295,1,Tessellate Fiddleneck,Amsinckia tessellata,NBNORG0000045949,Species,1
296,9,,Anacamptis,NBNORG0000053093,Genus,13749
297,12051,Pyramidal Orchid,Anacamptis pyramidalis,NBNORG0000007251,Species,13740
298,7,,Anacamptis pyramidalis x Gymnadenia conopsea = X Gymnanacamptis anacamptis,NBNORG0000090243,Species hybrid,9
299,2,,Anacyclus,NBNORG0000053094,Genus,8
300,1,,Anacyclus clavatus,NBNORG0000045950,Species,1
301,4,,Anacyclus radiatus,NBNORG0000053095,Species,4
302,1,,Anacyclus valentinus,NBNORG0000045951,Species,1
303,21,Pimpernel,Anagallis,NBNORG0000053096,Genus,59831
304,26404,Scarlet Pimpernel,Anagallis arvensis,NBNORG0000008215,Species,44346
305,571,,Anagallis arvensis arvensis azurea,NBNORG0000100086,Subspecies,573
306,558,,Anagallis arvensis arvensis carnea,NBNORG0000100087,Subspecies,558
307,112,,Anagallis arvensis arvensis lilacina,NBNORG0000100088,Subspecies,112
308,143,,Anagallis arvensis arvensis pallida,NBNORG0000100089,Subspecies,143
309,6,,Anagallis arvensis arvensis viridiflora,NBNORG0000041084,Subspecies,6
310,10299,Scarlet Pimpernel,Anagallis arvensis subsp. arvensis,NBNORG0000013218,Subspecies,11788
311,811,,Anagallis arvensis subsp. foemina,NBNORG0000053097,Subspecies,885
312,1966,Chaffweed,Anagallis minima,NBNORG0000053098,Species,2318
313,1,Garden Pimpernel,Anagallis monelli,NBNORG0000045952,Species,2
314,12945,Bog Pimpernel,Anagallis tenella,NBNORG0000008214,Species,13143
315,1,,Anagallis x doerfleri,NBNORG0000013387,Species hybrid,1
316,1,,Anaphalis,NBNORG0000053099,Genus,729
317,724,Pearly Everlasting,Anaphalis margaritacea,NBNORG0000008542,Species,728
318,3,,Anchusa,NBNORG0000053101,Genus,11189
319,10150,Bugloss,Anchusa arvensis,NBNORG0000053102,Species,10615
320,1,,Anchusa arvensis subsp. orientalis,NBNORG0000045955,Subspecies,1
321,106,Garden Anchusa,Anchusa azurea,NBNORG0000053104,Species,112
322,18,Yellow Alkanet,Anchusa ochroleuca,NBNORG0000053105,Species,18
323,24,Alkanet,Anchusa ochroleuca x officinalis = A. x baumgartenii,NBNORG0000090222,Species hybrid,25
324,401,Alkanet,Anchusa officinalis,NBNORG0000008247,Species,414
325,1,,Anchusa undulata,NBNORG0000045959,Species,1
326,2,,Andromeda,NBNORG0000053106,Genus,2366
327,2332,Bog-rosemary,Andromeda polifolia,NBNORG0000008181,Species,2364
328,16,,Anemone,NBNORG0000053110,Genus,50407
329,600,Blue Anemone,Anemone apennina,NBNORG0000007433,Species,645
330,138,Balkan Anemone,Anemone blanda,NBNORG0000013206,Species,173
331,5,Poppy Anemone,Anemone coronaria,NBNORG0000045964,Species,6
332,5,,Anemone hortensis x pavonina = A. x fulgens,NBNORG0000090153,Species hybrid,5
333,418,,Anemone hupehensis x vitifolia = A. x hybrida,NBNORG0000028226,Species hybrid,506
334,44580,Wood Anemone,Anemone nemorosa,NBNORG0000007431,Species,48867
335,164,Yellow Anemone,Anemone ranunculoides,NBNORG0000007432,Species,172
336,3,Snowdrop Anemone,Anemone sylvestris,NBNORG0000045965,Species,4
337,114,Dill,Anethum graveolens,NBNORG0000008060,Species,126
338,213,,Angelica,NBNORG0000053112,Genus,94526
339,557,Garden Angelica,Angelica archangelica,NBNORG0000008066,Species,769
340,88438,Wild Angelica,Angelica sylvestris,NBNORG0000008065,Species,93517
341,1,,Anisantha,NBNORG0000053113,Genus,2
342,1,,Anisodontea,NBNORG0000053114,Genus,1
343,4,Spurred Anoda,Anoda cristata,NBNORG0000053117,Species,5
344,2,,Antennaria,NBNORG0000053121,Genus,5986
345,5919,Mountain Everlasting,Antennaria dioica,NBNORG0000053122,Species,5984
346,13,,Anthemis,NBNORG0000053123,Genus,11003
347,2,Southern Chamomile,Anthemis altissima,NBNORG0000045967,Species,3
348,2434,Corn Chamomile,Anthemis arvensis,NBNORG0000008566,Species,2749
349,20,Austrian Chamomile,Anthemis austriaca,NBNORG0000045968,Species,35
350,6054,Stinking Chamomile,Anthemis cotula,NBNORG0000008565,Species,7489
351,11,,Anthemis cotula x Tripleurospermum inodorum = X Tripleurothemis maleolens,NBNORG0000090223,Species hybrid,11
352,1,Mountain Dog-daisy,Anthemis cretica,NBNORG0000045969,Species,1
353,120,Sicilian Chamomile,Anthemis punctata,NBNORG0000008919,Species,137
354,12,,Anthemis punctata subsp. cupaniana,NBNORG0000053124,Subspecies,12
355,8,Eastern Chamomile,Anthemis ruthenica,NBNORG0000045974,Species,8
356,530,Yellow Chamomile,Anthemis tinctoria,NBNORG0000008564,Species,562
357,1,Woolly Chamomile,Anthemis tomentosa,NBNORG0000045975,Species,1
358,2,Southern Dog-daisy,Anthemis triumfetti,NBNORG0000045976,Species,2
359,1,Branched St Bernard's-lily,Anthericum ramosum,NBNORG0000045977,Species,1
360,330,,Anthophyta,NBNORG0000047661,Division,339
361,460,,Anthoxanthum,NBNORG0000053128,Genus,119799
362,203,Annual Vernal-grass,Anthoxanthum aristatum,NBNORG0000007414,Species,213
363,9,,Anthoxanthum aristatum subsp. puelii,NBNORG0000053129,Subspecies,10
364,111590,Sweet Vernal-grass,Anthoxanthum odoratum,NBNORG0000007413,Species,119103
365,9,,Anthriscus,NBNORG0000053131,Genus,134711
366,5618,Bur Chervil,Anthriscus caucalis,NBNORG0000053132,Species,6257
367,156,Garden Chervil,Anthriscus cerefolium,NBNORG0000008019,Species,157
368,113616,Cow Parsley,Anthriscus sylvestris,NBNORG0000008018,Species,128285
369,14,,Anthyllis,NBNORG0000053133,Genus,18473
370,15650,,Anthyllis vulneraria,NBNORG0000007805,Species,18458
371,8,,Anthyllis vulneraria carpatica var. pseudovulneraria,NBNORG0000047473,Variety,8
372,221,,Anthyllis vulneraria subsp. carpatica,NBNORG0000023583,Subspecies,223
373,40,,Anthyllis vulneraria subsp. corbierei,NBNORG0000053134,Subspecies,40
374,370,,Anthyllis vulneraria subsp. lapponica,NBNORG0000053135,Subspecies,370
375,58,,Anthyllis vulneraria subsp. polyphylla,NBNORG0000013215,Subspecies,62
